genome,location,length
V2LD.contigs.10kb_virus_k127_1213344|provirus_3_69114.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_1213344|provirus_3_69114.fasta,69112
V2LD.contigs.10kb_virus_k127_1213349 flag=3 multi=11.0002 len=63138.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_1213349 flag=3 multi=11.0002 len=63138.fasta,63138
V2LD.contigs.10kb_virus_k127_1213352 flag=3 multi=18.0002 len=81553.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_1213352 flag=3 multi=18.0002 len=81553.fasta,81553
V2LD.contigs.10kb_virus_k127_1213357 flag=3 multi=10.9980 len=50486.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_1213357 flag=3 multi=10.9980 len=50486.fasta,50486
V2LD.contigs.10kb_virus_k127_1213359 flag=3 multi=23.0004 len=57234.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_1213359 flag=3 multi=23.0004 len=57234.fasta,57234
V2LD.contigs.10kb_virus_k127_1213369 flag=3 multi=18.0003 len=62784.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_1213369 flag=3 multi=18.0003 len=62784.fasta,62784
V2LD.contigs.10kb_virus_k127_1213385 flag=3 multi=13.9960 len=61031.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_1213385 flag=3 multi=13.9960 len=61031.fasta,61031
V2LD.contigs.10kb_virus_k127_1213393 flag=3 multi=16.9892 len=57975.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_1213393 flag=3 multi=16.9892 len=57975.fasta,57975
V2LD.contigs.10kb_virus_k127_1213404 flag=3 multi=8.9966 len=67590.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_1213404 flag=3 multi=8.9966 len=67590.fasta,67590
V2LD.contigs.10kb_virus_k127_1213416 flag=3 multi=8.9984 len=51758.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_1213416 flag=3 multi=8.9984 len=51758.fasta,51758
V2LD.contigs.10kb_virus_k127_1213425 flag=3 multi=13.9960 len=61982.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_1213425 flag=3 multi=13.9960 len=61982.fasta,61982
V2LD.contigs.10kb_virus_k127_1213457 flag=3 multi=16.0003 len=59508.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_1213457 flag=3 multi=16.0003 len=59508.fasta,59508
V2LD.contigs.10kb_virus_k127_1213485 flag=3 multi=8.9837 len=50046.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_1213485 flag=3 multi=8.9837 len=50046.fasta,50046
V2LD.contigs.10kb_virus_k127_138976 flag=0 multi=16.9991 len=169950.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_138976 flag=0 multi=16.9991 len=169950.fasta,169950
V2LD.contigs.10kb_virus_k127_142972 flag=1 multi=11.0000 len=70037.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_142972 flag=1 multi=11.0000 len=70037.fasta,70037
V2LD.contigs.10kb_virus_k127_151432 flag=1 multi=18.0000 len=58297.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_151432 flag=1 multi=18.0000 len=58297.fasta,58297
V2LD.contigs.10kb_virus_k127_151452 flag=0 multi=20.0000 len=144079.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_151452 flag=0 multi=20.0000 len=144079.fasta,144079
V2LD.contigs.10kb_virus_k127_152030 flag=0 multi=15.7988 len=63376.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_152030 flag=0 multi=15.7988 len=63376.fasta,63376
V2LD.contigs.10kb_virus_k127_154754 flag=3 multi=30.0000 len=113453.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_154754 flag=3 multi=30.0000 len=113453.fasta,113453
V2LD.contigs.10kb_virus_k127_154903 flag=1 multi=11.0000 len=65807.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_154903 flag=1 multi=11.0000 len=65807.fasta,65807
V2LD.contigs.10kb_virus_k127_160789 flag=0 multi=23.6164 len=71470.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_160789 flag=0 multi=23.6164 len=71470.fasta,71470
V2LD.contigs.10kb_virus_k127_161731 flag=0 multi=27.0000 len=76099.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_161731 flag=0 multi=27.0000 len=76099.fasta,76099
V2LD.contigs.10kb_virus_k127_166051 flag=0 multi=12.9976 len=55426.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_166051 flag=0 multi=12.9976 len=55426.fasta,55426
V2LD.contigs.10kb_virus_k127_169070 flag=0 multi=8.3764 len=59967.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_169070 flag=0 multi=8.3764 len=59967.fasta,59967
V2LD.contigs.10kb_virus_k127_170815 flag=0 multi=11.2810 len=58793.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_170815 flag=0 multi=11.2810 len=58793.fasta,58793
V2LD.contigs.10kb_virus_k127_173004 flag=0 multi=45.0000 len=53792.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_173004 flag=0 multi=45.0000 len=53792.fasta,53792
V2LD.contigs.10kb_virus_k127_176284 flag=1 multi=27.0000 len=63147.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_176284 flag=1 multi=27.0000 len=63147.fasta,63147
V2LD.contigs.10kb_virus_k127_178282 flag=0 multi=26.0000 len=59670.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_178282 flag=0 multi=26.0000 len=59670.fasta,59670
V2LD.contigs.10kb_virus_k127_18193 flag=0 multi=31.3265 len=58815.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_18193 flag=0 multi=31.3265 len=58815.fasta,58815
V2LD.contigs.10kb_virus_k127_183378 flag=0 multi=22.6624 len=52719.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_183378 flag=0 multi=22.6624 len=52719.fasta,52719
V2LD.contigs.10kb_virus_k127_185341 flag=1 multi=23.0000 len=54284.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_185341 flag=1 multi=23.0000 len=54284.fasta,54284
V2LD.contigs.10kb_virus_k127_222698 flag=1 multi=10.0000 len=55113.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_222698 flag=1 multi=10.0000 len=55113.fasta,55113
V2LD.contigs.10kb_virus_k127_22568 flag=0 multi=49.0000 len=75308.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_22568 flag=0 multi=49.0000 len=75308.fasta,75308
V2LD.contigs.10kb_virus_k127_227483 flag=1 multi=70.0000 len=120601.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_227483 flag=1 multi=70.0000 len=120601.fasta,120601
V2LD.contigs.10kb_virus_k127_231483 flag=0 multi=22.0000 len=92608.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_231483 flag=0 multi=22.0000 len=92608.fasta,92608
V2LD.contigs.10kb_virus_k127_234495 flag=0 multi=17.7832 len=110229.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_234495 flag=0 multi=17.7832 len=110229.fasta,110229
V2LD.contigs.10kb_virus_k127_245663 flag=0 multi=18.0000 len=61253.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_245663 flag=0 multi=18.0000 len=61253.fasta,61253
V2LD.contigs.10kb_virus_k127_255211 flag=1 multi=62.0000 len=58859.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_255211 flag=1 multi=62.0000 len=58859.fasta,58859
V2LD.contigs.10kb_virus_k127_273048 flag=1 multi=12.9986 len=70218.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_273048 flag=1 multi=12.9986 len=70218.fasta,70218
V2LD.contigs.10kb_virus_k127_281925 flag=1 multi=23.0000 len=58286.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_281925 flag=1 multi=23.0000 len=58286.fasta,58286
V2LD.contigs.10kb_virus_k127_285389 flag=1 multi=11.9994 len=57322.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_285389 flag=1 multi=11.9994 len=57322.fasta,57322
V2LD.contigs.10kb_virus_k127_295063 flag=1 multi=9.0000 len=57884.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_295063 flag=1 multi=9.0000 len=57884.fasta,57884
V2LD.contigs.10kb_virus_k127_299101 flag=0 multi=31.8502 len=59876.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_299101 flag=0 multi=31.8502 len=59876.fasta,59876
V2LD.contigs.10kb_virus_k127_30000 flag=1 multi=14.1717 len=53755.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_30000 flag=1 multi=14.1717 len=53755.fasta,53755
V2LD.contigs.10kb_virus_k127_300062 flag=1 multi=38.9770 len=56330.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_300062 flag=1 multi=38.9770 len=56330.fasta,56330
V2LD.contigs.10kb_virus_k127_302660 flag=0 multi=39.9956 len=91882.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_302660 flag=0 multi=39.9956 len=91882.fasta,91882
V2LD.contigs.10kb_virus_k127_304250 flag=0 multi=13.9054 len=50540.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_304250 flag=0 multi=13.9054 len=50540.fasta,50540
V2LD.contigs.10kb_virus_k127_309788 flag=0 multi=15.0614 len=54777.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_309788 flag=0 multi=15.0614 len=54777.fasta,54777
V2LD.contigs.10kb_virus_k127_31739 flag=1 multi=9.0000 len=59718.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_31739 flag=1 multi=9.0000 len=59718.fasta,59718
V2LD.contigs.10kb_virus_k127_320676 flag=1 multi=11.0000 len=69702.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_320676 flag=1 multi=11.0000 len=69702.fasta,69702
V2LD.contigs.10kb_virus_k127_321434 flag=0 multi=17.9976 len=69963.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_321434 flag=0 multi=17.9976 len=69963.fasta,69963
V2LD.contigs.10kb_virus_k127_328235 flag=0 multi=49.0000 len=53790.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_328235 flag=0 multi=49.0000 len=53790.fasta,53790
V2LD.contigs.10kb_virus_k127_336369 flag=0 multi=21.9959 len=51709.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_336369 flag=0 multi=21.9959 len=51709.fasta,51709
V2LD.contigs.10kb_virus_k127_339528 flag=0 multi=12.7804 len=51100.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_339528 flag=0 multi=12.7804 len=51100.fasta,51100
V2LD.contigs.10kb_virus_k127_35477 flag=0 multi=15.9989 len=131408.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_35477 flag=0 multi=15.9989 len=131408.fasta,131408
V2LD.contigs.10kb_virus_k127_368779 flag=1 multi=11.0000 len=104817.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_368779 flag=1 multi=11.0000 len=104817.fasta,104817
V2LD.contigs.10kb_virus_k127_379062 flag=1 multi=34.0000 len=128761.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_379062 flag=1 multi=34.0000 len=128761.fasta,128761
V2LD.contigs.10kb_virus_k127_381171 flag=1 multi=238.5903 len=50091.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_381171 flag=1 multi=238.5903 len=50091.fasta,50091
V2LD.contigs.10kb_virus_k127_383956 flag=3 multi=40.7193 len=78056.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_383956 flag=3 multi=40.7193 len=78056.fasta,78056
V2LD.contigs.10kb_virus_k127_387130 flag=0 multi=36.7300 len=59907.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_387130 flag=0 multi=36.7300 len=59907.fasta,59907
V2LD.contigs.10kb_virus_k127_389591 flag=0 multi=11.2521 len=140805.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_389591 flag=0 multi=11.2521 len=140805.fasta,140805
V2LD.contigs.10kb_virus_k127_391616 flag=0 multi=13.9377 len=51836.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_391616 flag=0 multi=13.9377 len=51836.fasta,51836
V2LD.contigs.10kb_virus_k127_397304 flag=1 multi=9.0000 len=53844.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_397304 flag=1 multi=9.0000 len=53844.fasta,53844
V2LD.contigs.10kb_virus_k127_431153 flag=3 multi=33.0000 len=115958.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_431153 flag=3 multi=33.0000 len=115958.fasta,115958
V2LD.contigs.10kb_virus_k127_440350 flag=1 multi=10.0000 len=52842.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_440350 flag=1 multi=10.0000 len=52842.fasta,52842
V2LD.contigs.10kb_virus_k127_441170 flag=1 multi=10.0000 len=95167.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_441170 flag=1 multi=10.0000 len=95167.fasta,95167
V2LD.contigs.10kb_virus_k127_451725|provirus_127_79307.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_451725|provirus_127_79307.fasta,79181
V2LD.contigs.10kb_virus_k127_456862 flag=1 multi=10.0000 len=99440.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_456862 flag=1 multi=10.0000 len=99440.fasta,99440
V2LD.contigs.10kb_virus_k127_458567 flag=0 multi=18.3404 len=86992.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_458567 flag=0 multi=18.3404 len=86992.fasta,86992
V2LD.contigs.10kb_virus_k127_460522 flag=0 multi=15.8118 len=60614.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_460522 flag=0 multi=15.8118 len=60614.fasta,60614
V2LD.contigs.10kb_virus_k127_462770 flag=0 multi=11.9978 len=50178.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_462770 flag=0 multi=11.9978 len=50178.fasta,50178
V2LD.contigs.10kb_virus_k127_471268 flag=1 multi=14.7809 len=63527.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_471268 flag=1 multi=14.7809 len=63527.fasta,63527
V2LD.contigs.10kb_virus_k127_471879 flag=1 multi=9.0000 len=53288.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_471879 flag=1 multi=9.0000 len=53288.fasta,53288
V2LD.contigs.10kb_virus_k127_473894 flag=0 multi=12.0000 len=57225.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_473894 flag=0 multi=12.0000 len=57225.fasta,57225
V2LD.contigs.10kb_virus_k127_475310|provirus_2_138502.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_475310|provirus_2_138502.fasta,138501
V2LD.contigs.10kb_virus_k127_478687 flag=0 multi=21.0000 len=64396.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_478687 flag=0 multi=21.0000 len=64396.fasta,64396
V2LD.contigs.10kb_virus_k127_479235 flag=3 multi=80.0000 len=53390.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_479235 flag=3 multi=80.0000 len=53390.fasta,53390
V2LD.contigs.10kb_virus_k127_479951 flag=3 multi=172.0000 len=74290.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_479951 flag=3 multi=172.0000 len=74290.fasta,74290
V2LD.contigs.10kb_virus_k127_480625 flag=3 multi=11.9960 len=55337.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_480625 flag=3 multi=11.9960 len=55337.fasta,55337
V2LD.contigs.10kb_virus_k127_482619 flag=0 multi=60.9972 len=211480.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_482619 flag=0 multi=60.9972 len=211480.fasta,211480
V2LD.contigs.10kb_virus_k127_486785 flag=0 multi=82.9745 len=64372.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_486785 flag=0 multi=82.9745 len=64372.fasta,64372
V2LD.contigs.10kb_virus_k127_48777 flag=1 multi=7.9987 len=55736.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_48777 flag=1 multi=7.9987 len=55736.fasta,55736
V2LD.contigs.10kb_virus_k127_499766 flag=0 multi=16.0000 len=55901.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_499766 flag=0 multi=16.0000 len=55901.fasta,55901
V2LD.contigs.10kb_virus_k127_500494 flag=0 multi=32.8707 len=59250.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_500494 flag=0 multi=32.8707 len=59250.fasta,59250
V2LD.contigs.10kb_virus_k127_512146 flag=1 multi=9.0000 len=63419.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_512146 flag=1 multi=9.0000 len=63419.fasta,63419
V2LD.contigs.10kb_virus_k127_514219 flag=0 multi=10.0000 len=58486.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_514219 flag=0 multi=10.0000 len=58486.fasta,58486
V2LD.contigs.10kb_virus_k127_520459 flag=3 multi=33.0000 len=96341.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_520459 flag=3 multi=33.0000 len=96341.fasta,96341
V2LD.contigs.10kb_virus_k127_5218|provirus_287_67047.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_5218|provirus_287_67047.fasta,66761
V2LD.contigs.10kb_virus_k127_52345 flag=1 multi=19.0000 len=92943.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_52345 flag=1 multi=19.0000 len=92943.fasta,92943
V2LD.contigs.10kb_virus_k127_534489 flag=0 multi=33.8186 len=60046.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_534489 flag=0 multi=33.8186 len=60046.fasta,60046
V2LD.contigs.10kb_virus_k127_538027 flag=1 multi=8.7669 len=55610.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_538027 flag=1 multi=8.7669 len=55610.fasta,55610
V2LD.contigs.10kb_virus_k127_541490 flag=1 multi=11.0000 len=50761.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_541490 flag=1 multi=11.0000 len=50761.fasta,50761
V2LD.contigs.10kb_virus_k127_542982 flag=0 multi=96.5184 len=64126.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_542982 flag=0 multi=96.5184 len=64126.fasta,64126
V2LD.contigs.10kb_virus_k127_543801 flag=0 multi=73.1996 len=61914.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_543801 flag=0 multi=73.1996 len=61914.fasta,61914
V2LD.contigs.10kb_virus_k127_545179 flag=0 multi=9.7550 len=58863.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_545179 flag=0 multi=9.7550 len=58863.fasta,58863
V2LD.contigs.10kb_virus_k127_552171 flag=0 multi=26.6854 len=59918.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_552171 flag=0 multi=26.6854 len=59918.fasta,59918
V2LD.contigs.10kb_virus_k127_579820 flag=0 multi=18.9980 len=95788.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_579820 flag=0 multi=18.9980 len=95788.fasta,95788
V2LD.contigs.10kb_virus_k127_580455 flag=1 multi=7.0000 len=72684.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_580455 flag=1 multi=7.0000 len=72684.fasta,72684
V2LD.contigs.10kb_virus_k127_589768 flag=1 multi=13.0000 len=80272.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_589768 flag=1 multi=13.0000 len=80272.fasta,80272
V2LD.contigs.10kb_virus_k127_596237 flag=1 multi=12.0000 len=55089.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_596237 flag=1 multi=12.0000 len=55089.fasta,55089
V2LD.contigs.10kb_virus_k127_600751 flag=0 multi=12.0000 len=85498.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_600751 flag=0 multi=12.0000 len=85498.fasta,85498
V2LD.contigs.10kb_virus_k127_607149 flag=0 multi=15.0000 len=54964.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_607149 flag=0 multi=15.0000 len=54964.fasta,54964
V2LD.contigs.10kb_virus_k127_608060 flag=3 multi=369.0000 len=91569.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_608060 flag=3 multi=369.0000 len=91569.fasta,91569
V2LD.contigs.10kb_virus_k127_608908 flag=0 multi=14.9095 len=62991.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_608908 flag=0 multi=14.9095 len=62991.fasta,62991
V2LD.contigs.10kb_virus_k127_60940 flag=0 multi=34.9478 len=75307.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_60940 flag=0 multi=34.9478 len=75307.fasta,75307
V2LD.contigs.10kb_virus_k127_613880 flag=1 multi=112.0000 len=51390.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_613880 flag=1 multi=112.0000 len=51390.fasta,51390
V2LD.contigs.10kb_virus_k127_616530 flag=1 multi=17.0000 len=106578.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_616530 flag=1 multi=17.0000 len=106578.fasta,106578
V2LD.contigs.10kb_virus_k127_61785 flag=1 multi=11.0000 len=61457.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_61785 flag=1 multi=11.0000 len=61457.fasta,61457
V2LD.contigs.10kb_virus_k127_626744 flag=1 multi=10.0000 len=59298.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_626744 flag=1 multi=10.0000 len=59298.fasta,59298
V2LD.contigs.10kb_virus_k127_628729 flag=0 multi=149.0000 len=52904.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_628729 flag=0 multi=149.0000 len=52904.fasta,52904
V2LD.contigs.10kb_virus_k127_631683 flag=0 multi=24.0000 len=70672.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_631683 flag=0 multi=24.0000 len=70672.fasta,70672
V2LD.contigs.10kb_virus_k127_640334 flag=1 multi=13.0000 len=76989.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_640334 flag=1 multi=13.0000 len=76989.fasta,76989
V2LD.contigs.10kb_virus_k127_671608 flag=1 multi=9.0000 len=50449.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_671608 flag=1 multi=9.0000 len=50449.fasta,50449
V2LD.contigs.10kb_virus_k127_673732 flag=0 multi=13.9981 len=68088.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_673732 flag=0 multi=13.9981 len=68088.fasta,68088
V2LD.contigs.10kb_virus_k127_678257 flag=0 multi=15.5066 len=220072.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_678257 flag=0 multi=15.5066 len=220072.fasta,220072
V2LD.contigs.10kb_virus_k127_683253 flag=0 multi=16.9976 len=67884.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2LD.contigs.10kb_virus_k127_683253 flag=0 multi=16.9976 len=67884.fasta,67884
